id,name
a5193e82-046d-42bc-835d-06cdac3e1425,Cebu Pacific
e49f9d84-a13d-4282-86e3-0e64010f6d18,Hainan Airlines
15513d15-e5d1-43f3-b1d8-71c6412c0ea5,Iberia
86485f45-20f5-47d9-8ddc-ae2cdab697b7,Oman Air
49af4dcb-12df-4be3-a56f-41675e3aabd1,RwandAir
69cae48f-0a20-4512-bcfb-e44e5d6dfdd6,Avianca
15accd92-3525-4d20-b629-75b79cffece5,Air Transat
d40eb3f8-4073-43b1-9a38-428828877660,Edelweiss Air
46688f70-ce7c-4a7f-b921-e1dd14219f15,Lufthansa
1d146aef-e292-45f5-9785-3d8975d396c3,Thai Airways
316acb70-b926-4dd2-9d6f-8ce7c5c6b6f9,South African Airways
718541c4-6e1c-4c8c-9c75-3a24836b6781,Virgin Atlantic
e20441bd-3714-4656-b931-b28387224653,Airbus
a160b70f-4375-4719-81fd-850a3cdde8dd,Virgin Atlantic - Old
62f4b3ad-536e-4d16-a581-312ca76f2354,Etihad - Formula One
0d9917d1-3237-47ae-b541-accc7104aa77,Qatar Airways
51653b24-996b-421b-9ab5-0b9fab1c0d35,Generic
5e9c9c43-e0bd-4a2c-8b2e-1bf37275c864,175th Wing Warfield ANG
5100dbb8-2e8f-439e-99d9-3682176334ff,188th Wing Fort Smith ANG
6a620115-6a36-480c-a006-30f7ecb2c35a,25th FS Osan AB
e68b5101-a8e1-43da-9792-5481faa4a3f9,303rd FS Whiteman AFB
ef8b0325-c962-4ec9-b5fd-5d4f2f234e01,343rd Wing Eielson AFB
9f91e172-7f1e-4105-8cdf-69cca25667f9,354th FS Davis-Mothan AFB
92745d61-6b14-4246-83be-7959be2a29ff,66th WS Nellis AFB
a0ac5c37-54b0-416c-a022-9894f219cf22,75th FS Moody AFB
5fd0dae5-b179-415d-82da-6cab3fde8a11,Arctic Camo
c9a4f454-bb98-4b25-ad09-bc0df3ad16b2,United
51dd05b8-85c7-496b-96f6-649a056ff976,LOT Polish Airlines
6421dce4-377f-4ba7-97ea-d838aff83813,Delta Air Lines
aec395eb-e87d-4bf3-81c9-163fb932b712,Generic
211c61be-3e52-4a19-864b-1eb68348703c,US Airways
09a66cfb-4e3c-4aa8-8426-414c4643c448,Northwest Airlines
490646cd-ae2b-4771-8086-507785d0f640,Air Canada
f4614fc0-0128-4a6e-8226-d5f53f74f456,Generic
97b1b5ef-0db9-4bca-9bb5-5970ebbb83b1,JetBlue
609a665a-1d0e-4e3e-9af8-19042591d2f7,KLM
9921372e-6faa-40d9-9dfb-6580bee43022,British Airways
de1b1017-29bc-47c4-9a01-d904737ddeea,Generic
503c0860-3784-4fde-aedc-6abb8352c967,Azul
e3519f25-d3ef-4688-a658-e4c326a593a9,Air Europa
95e7643c-0d0a-4621-8d6d-cf547cfc0263,Flybe
9c771cf8-8b25-4097-8091-5dbd639a202d,Generic
00782c6a-0681-450c-826e-6659e7da4032,American Airlines - Old
bb5217fd-9505-4b1b-92e9-adb8be56ab04,KLM
778a1b8a-35ac-43a3-8556-2d7bf78c062a,Air Canada
feec78d6-5eb5-4569-810c-89d35eddf246,British Airways
f19e1cb5-b7e4-4390-bece-2edb25037612,Delta Air Lines
09f74d34-d35d-428a-bc55-68a83e7b3a68,Hawaiian Airlines
f2e25c0d-d7b1-4559-9c35-bc3f097a7428,Qantas
a1bd7197-9180-41f1-b606-426a89fffd5e,LAN
831564a0-6e1a-459e-92b1-399975f21cd6,United Continental
2aa5222d-a48a-4b84-9b5b-321dee653ca0,Air France
02fbbdd9-b2d3-4d36-ac77-3944ae9717cf,United Airlines
8822658b-a663-4056-88d9-fc1d8cb3b924,Thomas Cook
fd2a7f07-05f8-48e8-927f-156893ab79e4,Generic
8088ca94-db0c-45a7-87a9-6e6f24a4fc87,Generic
54691c60-87ea-4ac2-a19b-521fd33479a1,Tanks / Armament
0d7a8893-0f22-48f0-ba21-1b4186a03ad5,Armament
56b68986-7a53-434b-b400-c3868f6e9191,Tanks
2777a92a-f9f5-42cb-a137-29d92b254bb4,Default
029945bc-27a3-4bd2-831a-f593a809f918,American Airlines - 2013
be3e90ff-0ba3-4a65-a51f-118afd4b9505,Delta Air Lines
96059758-e7c7-4932-ac6b-287600e96a35,Icelandair
85a55755-6316-4045-8477-f972c16acb0a,Monarch
649cf469-a224-4ff0-a5e3-49156b72c399,US Air Force
2fe35dc7-bf3a-432a-bf80-4f261b274db7,British Airways
44f25778-528d-4e27-9215-0c495d12c82e,Generic
26592268-bb37-420b-b8d1-2133ab1f532f,La Compagnie
70aa3738-0574-4b6e-82e9-7470f4928e91,Jet2
405435a1-78f6-4cc7-972a-5589db10dd52,Cabo Verde
17696187-4581-48b9-a6b3-403c60c70df1,Air Baltic
c7d0b5ec-1b46-4977-9e59-b4fd6847ae69,Aer Lingus
8cf83fb5-82f6-4480-8f50-535d785aaf2f,Ghana International Airlines
e5011a5a-ed03-4083-9be5-cd63aba09950,China Southern
b24f9920-3d37-4939-9dbe-65a127269e18,Uzbekistan Airways
f0b6bfd7-aa5e-4e41-a78d-09492ff40e04,Air Astana
8e83417a-f960-4300-8b85-c281bcf31b43,America West
586ff541-fd63-4d98-a89f-4b0cd755fb51,LAPA
ee7f99a8-abda-4231-a6be-9ff769c62099,Royal Nepal Airlines
a1ca5743-5046-4186-bf70-7564961dcf8d,EC Air
672f8652-df76-4f90-afc0-6cc6ad205bac,TUI
3a5665a6-3b2c-4d8f-917d-9fd9877ceebb,Guyana Airways
820a1d16-2c30-4b4b-bbeb-5fc71a1aed77,Air China
53b62c25-9f69-4f7a-a4f7-df6c8563d67f,United Airlines
7de4c9b1-647f-4c7e-94b8-badcbe152397,Ladeco
c969ebc6-3def-4fa2-9d1b-3efabdaca639,Infinite Flight
f833709f-35a5-471a-b9a0-cd7d6c0b299e,Sunday Airlines
a7035c52-aa8e-4200-854e-6823be72e3fa,American Airlines - 1968
b0e04dee-d743-441b-93d2-78ed694cc4cc,US Airways
f48b27f6-9093-413f-a4ed-dca681750130,Finnair
5dca5ae5-7ba2-48f4-adee-f6450b7e38fb,Aeromexico
